df,sum_sq,mean_sq,F,PR(>F)
11.0,29265371.39086099,2660488.30826009,195.78717203551747,0.0
8.0,54266850.82569667,6783356.353212084,499.19187886719317,0.0
32.0,883991752.6631503,27624742.270723447,2032.923862361217,0.0
2.0,82057558.52109148,41028779.26054574,3019.336201761064,0.0
10.0,238519070.12958682,23851907.012958683,1755.2783100841111,0.0
8.0,224402551.79979637,28050318.974974547,2064.242345945913,0.0
6.0,17394029.472933847,2899004.9121556412,213.3397736444926,3.1062337104640826e-273
101.0,459064567.54771924,4545193.73809623,334.48394626375,0.0
8.0,92842770.00533688,11605346.25066711,854.0454456637215,0.0
105.0,434446624.4985086,4137586.899985796,304.48787753899353,0.0
10.0,8624868981.136057,862486898.1136057,63471.006497217866,0.0
21.0,118155866.50417845,5626469.833532307,414.0558008957607,0.0
23.0,69533886.28842086,3023212.4473226457,222.48029193970495,0.0
1295437.0,17603272761.722626,13588.67529777413,,
