Variable,Khi2,P-value
MonthOfCall,1475.424271602315,1.3979647773954198e-280
CalYear,2634.748382524661,0.0
BoroughName,48245.672799162945,0.0
IncidentGroup,4594.023587121118,0.0
AddressQualifier,18555.333299450514,0.0
PropertyCategory,16216.06827899781,0.0
DayOfCall,659.6578091079181,7.4444262502047384e-124
IncidentStationGround,77262.08119777974,0.0
StopCodeDescription,11289.76982169377,0.0
DeployedFromStation_Name,56780.13655910413,0.0
DelayCode_Description,521878.4319902108,0.0
SpecialServiceType,9253.230747575917,0.0
HourOfCall,22156.15788593844,0.0
